GET    /v1/catalogos | operationId=obterTodosRegistros_10 | params=statusAtivo[query]:boolean
GET    /v1/orgaos/{cnpj}/compras/{anoCompra}/{sequencialCompra}/atas/{sequencialAta}/arquivos/{sequencialDocumento} | operationId=recuperarArquivo_4 | params=cnpj[path]*:string, anoCompra[path]*:integer, sequencialCompra[path]*:integer, sequencialAta[path]*:integer, sequencialDocumento[path]*:integer
GET    /v1/orgaos/{cnpj}/compras/{anoCompra}/{sequencialCompra}/atas/{sequencialAta}/contratos | operationId=recuperarContratosAtaRegistoPreco | params=cnpj[path]*:string, anoCompra[path]*:integer, sequencialCompra[path]*:integer, sequencialAta[path]*:integer, pagina[query]:integer, tamanhoPagina[query]:integer
GET    /v1/orgaos/{cnpj}/compras/{anoCompra}/{sequencialCompra}/atas/{sequencialAta}/partesenvolvidas | operationId=buscar | params=cnpj[path]*:string, anoCompra[path]*:integer, sequencialCompra[path]*:integer, sequencialAta[path]*:integer, pagina[query]:integer, tamanhoPagina[query]:integer
POST   /v1/orgaos/{cnpj}/compras/{anoCompra}/{sequencialCompra}/atas/{sequencialAta}/partesenvolvidas | operationId=inserirParteEnvolvidaAta | params=cnpj[path]*:string, anoCompra[path]*:integer, sequencialCompra[path]*:integer, sequencialAta[path]*:integer
DELETE /v1/orgaos/{cnpj}/compras/{anoCompra}/{sequencialCompra}/atas/{sequencialAta}/partesenvolvidas/{cnpjOrgao}/{codUnidade}/{tipoParteEnvolvida} | operationId=excluirParteEnvolvida | params=cnpj[path]*:string, anoCompra[path]*:integer, sequencialCompra[path]*:integer, sequencialAta[path]*:integer, cnpjOrgao[path]*:string, codUnidade[path]*:string, tipoParteEnvolvida[path]*:integer
GET    /v1/orgaos/{cnpj}/compras/{anoCompra}/{sequencialCompra}/atas/{sequencialAta}/partesenvolvidas/{cnpjOrgao}/{codUnidade}/{tipoParteEnvolvida} | operationId=parteEnvolvidaAta | params=cnpj[path]*:string, anoCompra[path]*:integer, sequencialCompra[path]*:integer, sequencialAta[path]*:integer, cnpjOrgao[path]*:string, codUnidade[path]*:string, tipoParteEnvolvida[path]*:integer
DELETE /v1/orgaos/{cnpj}/compras/{ano}/{sequencial} | operationId=removerCompra | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer
PATCH  /v1/orgaos/{cnpj}/compras/{ano}/{sequencial} | operationId=retificarParcialmenteCompra | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer
PUT    /v1/orgaos/{cnpj}/compras/{ano}/{sequencial} | operationId=retificarCompra | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer
GET    /v1/orgaos/{cnpj}/compras/{ano}/{sequencial}/arquivos | operationId=recuperarInformacoesDocumentosCompra | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, pagina[query]:integer, tamanhoPagina[query]:integer
POST   /v1/orgaos/{cnpj}/compras/{ano}/{sequencial}/arquivos | operationId=inserirArquivo_2 | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, Titulo-Documento[header]*:string, Tipo-Documento-Id[header]*:integer
GET    /v1/orgaos/{cnpj}/compras/{ano}/{sequencial}/arquivos/excluidos/{sequencialDocumento} | operationId=recuperarArquivoExlcuido | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, sequencialDocumento[path]*:integer
GET    /v1/orgaos/{cnpj}/compras/{ano}/{sequencial}/arquivos/quantidade | operationId=recuperarCompraDocumentoQuantidade | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer
DELETE /v1/orgaos/{cnpj}/compras/{ano}/{sequencial}/arquivos/{sequencialDocumento} | operationId=removerDocumentoCompra | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, sequencialDocumento[path]*:integer
GET    /v1/orgaos/{cnpj}/compras/{ano}/{sequencial}/arquivos/{sequencialDocumento} | operationId=recuperarArquivo_3 | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, sequencialDocumento[path]*:integer
GET    /v1/orgaos/{cnpj}/compras/{ano}/{sequencial}/atas/{sequencialAta}/historico | operationId=consultarHistoricoAta | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, sequencialAta[path]*:integer, pagina[query]:integer, tamanhoPagina[query]:integer
GET    /v1/orgaos/{cnpj}/compras/{ano}/{sequencial}/atas/{sequencialAta}/historico/quantidade | operationId=consultarHistoricoAtaQuantidade | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, sequencialAta[path]*:integer
DELETE /v1/orgaos/{cnpj}/compras/{ano}/{sequencial}/fonte-orcamentaria | operationId=excluirRegistro_1 | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer
GET    /v1/orgaos/{cnpj}/compras/{ano}/{sequencial}/fonte-orcamentaria | operationId=obterRegistros_1 | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer
POST   /v1/orgaos/{cnpj}/compras/{ano}/{sequencial}/fonte-orcamentaria | operationId=incluirRegistros | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer
GET    /v1/orgaos/{cnpj}/compras/{ano}/{sequencial}/fonte-orcamentaria/{fonteOrcamentariaId} | operationId=obterRegistro_6 | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, fonteOrcamentariaId[path]*:integer
GET    /v1/orgaos/{cnpj}/compras/{ano}/{sequencial}/historico | operationId=consultarCompra | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, pagina[query]:integer, tamanhoPagina[query]:integer
GET    /v1/orgaos/{cnpj}/compras/{ano}/{sequencial}/historico/quantidade | operationId=consultarQuantidade | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer
